geometry,epsilon,method,mean_corr,std_corr,mean_amari,std_amari,runtime,success_rate
coherent,0.1,FastICA-deflation-cube,0.6740257416092841,0.06498142710324951,0.28019652887129054,0.08301648078439323,0.011566343307495118,0.92
coherent,0.1,FastICA-exp,0.6651617297775588,0.061828038925529356,0.2854658250195583,0.07732688828533651,0.01651132583618164,0.92
coherent,0.1,JADE,0.6763152043457754,0.06139938307940079,0.26691884716206465,0.07389485389338629,0.005589203834533691,0.92
coherent,0.1,Picard-nonorthogonal,0.6759348362712355,0.0663512349107755,0.2720465496228726,0.07863581656867953,0.06016876697540283,0.92
coherent,0.1,Proposed IRLS-l12,0.6559239459365868,0.06231762276827272,0.2768375345502757,0.0799241947954754,0.06800098896026611,0.92
coherent,0.1,SOBI,0.6220408881400573,0.052065867752634984,0.415819637178323,0.0624413644895762,0.011099066734313965,0.92
coherent,0.2,FastICA-deflation-cube,0.6702779734668864,0.05996446842896687,0.28688926310821633,0.07600480033548433,0.01203890323638916,0.92
coherent,0.2,FastICA-exp,0.65748948801478,0.07171755602624397,0.28510849115670145,0.09557239626866418,0.01785912036895752,0.92
coherent,0.2,JADE,0.6705422574469803,0.06362873196333549,0.2800434006383727,0.07379893428671189,0.006318268775939942,0.92
coherent,0.2,Picard-nonorthogonal,0.6733498506975318,0.07304676485513238,0.27697866347823297,0.08087612140225664,0.05084943771362305,0.92
coherent,0.2,Proposed IRLS-l12,0.654671258413795,0.09689083065983385,0.27802061640275694,0.08731002250716906,0.06853479862213135,0.92
coherent,0.2,SOBI,0.6095011805786266,0.05234321296067265,0.41514156891682275,0.06646383946756212,0.012582311630249024,0.92
dense,0.1,FastICA-deflation-cube,0.252646432549048,0.03746679549988493,0.3941018528441447,0.06074442888797471,0.0053713607788085935,0.92
dense,0.1,FastICA-exp,0.25448696220859257,0.03815937112536204,0.3916188667956959,0.04318614364503793,0.009758963584899902,0.92
dense,0.1,JADE,0.2567218200919652,0.03893555176642665,0.4068380857426956,0.07762876122657314,0.008267784118652343,0.92
dense,0.1,Picard-nonorthogonal,0.2524390601113233,0.03794584213840674,0.3912523022942265,0.07452936184920309,0.027452716827392577,0.92
dense,0.1,Proposed IRLS-l12,0.28007505766591567,0.07982089477118812,0.2788064355443237,0.09772159271622317,0.09048868656158447,0.92
dense,0.1,SOBI,0.2472940765676647,0.03037039626851736,0.40697758038893916,0.061084245998463925,0.011296172142028809,0.92
dense,0.2,FastICA-deflation-cube,0.19678320135471564,0.029852061257781465,0.41554187797518255,0.0589700981230816,0.005517764091491699,0.92
dense,0.2,FastICA-exp,0.19386375930971744,0.029371328351354132,0.409723158158362,0.05287373671644084,0.010073418617248536,0.92
dense,0.2,JADE,0.19579199707642142,0.02942930929974343,0.40878544280765067,0.053966629980311855,0.008157343864440917,0.92
dense,0.2,Picard-nonorthogonal,0.19632106396745125,0.028238368843527407,0.4053851173563089,0.04819320076687006,0.024699039459228515,0.92
dense,0.2,Proposed IRLS-l12,0.18543810143232678,0.03606268024898772,0.30634321725896557,0.09147727718972194,0.10070214271545411,0.92
dense,0.2,SOBI,0.18916337358413451,0.03086485103363172,0.42557481337717074,0.06335092850466773,0.012093615531921387,0.92
single-channel,0.1,FastICA-deflation-cube,0.25006768588960215,0.03629352798574419,0.3861401702635643,0.061245893067560515,0.00302943229675293,0.92
single-channel,0.1,FastICA-exp,0.2524092719225504,0.03930627777495437,0.3761768787359493,0.0598337551911188,0.006575698852539062,0.92
single-channel,0.1,JADE,0.25012126702930226,0.03614787921218924,0.3853710634223803,0.05904707872841548,0.0036812448501586915,0.92
single-channel,0.1,Picard-nonorthogonal,0.24967704722988218,0.03715334522329026,0.3839044731912081,0.058867191834870006,0.019066562652587892,0.92
single-channel,0.1,Proposed IRLS-l12,0.28514726244917893,0.06245602974709261,0.26314106581302704,0.08922123360712896,0.08683864593505859,0.92
single-channel,0.1,SOBI,0.251121893495523,0.04244050169433639,0.40930327391472515,0.06500104701208151,0.010614132881164551,0.92
single-channel,0.2,FastICA-deflation-cube,0.1972792605324975,0.028263178789237096,0.3931700380745027,0.0346207663324755,0.002940411567687988,0.92
single-channel,0.2,FastICA-exp,0.19783312046395016,0.02764125704495924,0.39950844886905584,0.044378123786593185,0.004938583374023437,0.92
single-channel,0.2,JADE,0.19699547475727347,0.028270772022237687,0.3922199976445094,0.034993915009258705,0.0035335493087768556,0.92
single-channel,0.2,Picard-nonorthogonal,0.196648972604529,0.0280351363079441,0.39443675701477593,0.036420657857900586,0.01599332332611084,0.92
single-channel,0.2,Proposed IRLS-l12,0.20402414335616118,0.027855675370772194,0.34142688103078805,0.05856486729622068,0.08269989013671875,0.92
single-channel,0.2,SOBI,0.20131647379538117,0.027737926142310347,0.4044543087600554,0.0438452709144599,0.011598882675170898,0.92
